transaction_id,customer_name,amount,failure_reason,timestamp,do_not_contact
TXN0001,Meera Pillai,346.61,fraud_blocked,2026-09-02 06:16:59,False
TXN0002,Suresh Babu,1113.7,insufficient_funds,2026-09-03 20:11:30,False
TXN0003,Divya Menon,393.99,network_timeout,2026-09-02 09:13:06,False
TXN0004,Suresh Babu,5655.33,card_expired,2026-08-31 12:22:20,False
TXN0005,Priya Sharma,2853.09,network_timeout,2026-08-28 02:56:36,False
TXN0006,Meera Pillai,4282.88,insufficient_funds,2026-09-03 03:44:31,False
TXN0007,Ananya Iyer,3431.29,customer_cancelled,2026-08-31 21:52:28,False
TXN0008,Meera Pillai,3504.16,network_timeout,2026-08-27 15:20:47,False
TXN0009,Lakshmi Rao,5407.66,invalid_card,2026-09-03 22:08:42,False
TXN0010,Aditya Kumar,6322.53,insufficient_funds,2026-08-29 22:29:33,False
TXN0011,Vikram Singh,552.66,invalid_card,2026-08-27 23:31:14,False
TXN0012,Karthik Raj,8566.65,customer_cancelled,2026-08-31 21:49:36,False
TXN0013,Arjun Nair,8356.69,network_timeout,2026-09-01 00:12:49,True
TXN0014,Ananya Iyer,2742.08,insufficient_funds,2026-08-29 14:51:56,False
TXN0015,Arjun Nair,7317.36,insufficient_funds,2026-08-31 02:06:53,True
TXN0016,Suresh Babu,9260.37,insufficient_funds,2026-09-02 12:20:58,False
TXN0017,Rahul Verma,7705.3,network_timeout,2026-09-02 10:05:08,False
TXN0018,Meera Pillai,3221.99,insufficient_funds,2026-09-04 01:10:18,False
TXN0019,Kavya Reddy,5714.08,bank_unavailable,2026-09-02 14:01:36,False
TXN0020,Pooja Desai,8857.36,network_timeout,2026-09-03 06:46:04,True
TXN0021,Suresh Babu,7474.39,insufficient_funds,2026-09-02 01:59:57,False
TXN0022,Lakshmi Rao,8987.45,card_expired,2026-09-01 02:10:40,False
TXN0023,Nikhil Joshi,1468.48,customer_cancelled,2026-09-03 19:14:20,False
TXN0024,Arjun Nair,1184.53,insufficient_funds,2026-08-27 18:57:29,True
TXN0025,Lakshmi Rao,727.92,network_timeout,2026-08-29 18:02:38,False
TXN0026,Suresh Babu,2588.0,network_timeout,2026-08-27 02:28:12,False
TXN0027,Suresh Babu,7234.15,insufficient_funds,2026-08-28 04:50:47,False
TXN0028,Rohan Gupta,3466.74,invalid_card,2026-08-31 08:42:48,False
TXN0029,Meera Pillai,9541.78,network_timeout,2026-08-25 23:48:14,False
TXN0030,Karthik Raj,5125.05,invalid_card,2026-08-27 00:07:57,False
TXN0031,Manoj Tiwari,6424.6,insufficient_funds,2026-09-02 17:19:06,True
TXN0032,Anjali Bose,1698.34,network_timeout,2026-08-26 12:37:07,False
TXN0033,Karthik Raj,4936.2,card_expired,2026-08-26 10:04:24,False
TXN0034,Rohan Gupta,8332.49,bank_unavailable,2026-09-02 07:35:19,False
TXN0035,Ananya Iyer,5715.83,insufficient_funds,2026-09-03 20:30:01,False
TXN0036,Suresh Babu,784.2,network_timeout,2026-08-28 01:15:24,False
TXN0037,Suresh Babu,4804.3,insufficient_funds,2026-09-03 01:25:36,False
TXN0038,Divya Menon,6104.28,card_expired,2026-08-26 10:07:04,False
TXN0039,Rohan Gupta,6928.69,invalid_card,2026-08-31 17:17:56,False
TXN0040,Anjali Bose,3795.86,fraud_blocked,2026-08-31 04:42:01,False
TXN0041,Priya Sharma,732.86,insufficient_funds,2026-08-29 19:51:47,False
