transaction_id,customer_name,amount,failure_reason,timestamp,do_not_contact,action,channel,policy_note
TXN0110,Vikram Singh,340.81,insufficient_funds,2026-08-22 23:24:43,False,retry_later,sms,
TXN0085,Arjun Nair,2442.7,invalid_card,2026-08-23 01:16:01,True,mark_lost,none,suppressed_do_not_contact
TXN0029,Meera Pillai,9541.78,network_timeout,2026-08-23 02:18:12,False,retry_now,none,
TXN0058,Divya Menon,1978.99,network_timeout,2026-08-23 03:03:58,False,retry_now,none,
TXN0092,Ananya Iyer,3348.79,insufficient_funds,2026-08-23 03:30:11,False,retry_later,sms,
TXN0143,Arjun Nair,7799.14,card_expired,2026-08-23 04:01:25,True,mark_lost,none,suppressed_do_not_contact
TXN0142,Manoj Tiwari,1760.11,fraud_blocked,2026-08-23 04:15:37,True,manual_review,none,
TXN0150,Sanjay Mehta,4952.0,network_timeout,2026-08-23 04:58:03,False,retry_now,none,
TXN0126,Deepa Krishnan,3954.82,invalid_card,2026-08-23 08:30:06,False,send_nudge,email,
TXN0072,Karthik Raj,3062.85,fraud_blocked,2026-08-23 10:12:48,False,manual_review,none,
TXN0033,Karthik Raj,4936.2,network_timeout,2026-08-23 12:34:22,False,retry_now,none,
TXN0038,Divya Menon,6104.28,network_timeout,2026-08-23 12:37:02,False,retry_now,none,
TXN0053,Ananya Iyer,245.1,network_timeout,2026-08-23 13:13:42,False,retry_now,none,
TXN0098,Anjali Bose,4415.97,insufficient_funds,2026-08-23 13:25:06,False,retry_later,sms,
TXN0032,Anjali Bose,1698.34,network_timeout,2026-08-23 15:07:05,False,retry_now,none,
TXN0082,Rahul Verma,3709.05,insufficient_funds,2026-08-23 19:48:52,False,retry_later,sms,
TXN0113,Priya Sharma,6593.97,insufficient_funds,2026-08-23 21:19:05,False,retry_later,sms,
TXN0069,Aditya Kumar,1410.32,network_timeout,2026-08-24 00:08:57,False,retry_now,none,
TXN0030,Karthik Raj,5125.05,fraud_blocked,2026-08-24 02:37:55,False,manual_review,none,
TXN0026,Suresh Babu,2588.0,network_timeout,2026-08-24 04:58:10,False,retry_now,none,
TXN0043,Rahul Verma,766.26,insufficient_funds,2026-08-24 05:14:38,False,retry_later,sms,
TXN0089,Rahul Verma,3886.16,card_expired,2026-08-24 05:29:39,False,send_nudge,email,
TXN0128,Lakshmi Rao,3581.41,insufficient_funds,2026-08-24 06:43:44,False,retry_later,sms,
TXN0118,Manoj Tiwari,8924.12,invalid_card,2026-08-24 15:57:18,True,mark_lost,none,suppressed_do_not_contact
TXN0008,Meera Pillai,3504.16,network_timeout,2026-08-24 17:50:45,False,retry_now,none,
TXN0087,Sanjay Mehta,7844.63,invalid_card,2026-08-24 19:01:12,False,send_nudge,email,
TXN0129,Suresh Babu,4247.31,invalid_card,2026-08-24 19:35:17,False,send_nudge,email,
TXN0147,Karthik Raj,6873.16,insufficient_funds,2026-08-24 20:27:43,False,retry_later,sms,
TXN0024,Arjun Nair,1184.53,insufficient_funds,2026-08-24 21:27:27,True,mark_lost,none,suppressed_do_not_contact
TXN0138,Ananya Iyer,2318.8,invalid_card,2026-08-25 00:03:38,False,send_nudge,email,
TXN0011,Vikram Singh,552.66,card_expired,2026-08-25 02:01:12,False,send_nudge,email,
TXN0036,Suresh Babu,784.2,network_timeout,2026-08-25 03:45:22,False,retry_now,none,
TXN0005,Priya Sharma,2853.09,network_timeout,2026-08-25 05:26:34,False,retry_now,none,
TXN0027,Suresh Babu,7234.15,insufficient_funds,2026-08-25 07:20:45,False,retry_later,sms,
TXN0084,Manoj Tiwari,8758.66,network_timeout,2026-08-25 07:40:55,True,retry_now,none,
TXN0073,Karthik Raj,1241.74,insufficient_funds,2026-08-25 09:22:35,False,retry_later,sms,
TXN0078,Arjun Nair,9799.0,insufficient_funds,2026-08-25 09:39:40,True,mark_lost,none,suppressed_do_not_contact
TXN0131,Lakshmi Rao,3426.68,insufficient_funds,2026-08-25 13:45:11,False,retry_later,sms,
TXN0074,Divya Menon,2888.39,insufficient_funds,2026-08-25 15:19:46,False,retry_later,sms,
TXN0042,Ananya Iyer,2279.15,insufficient_funds,2026-08-25 17:40:29,False,retry_later,sms,
TXN0141,Pooja Desai,9481.79,insufficient_funds,2026-08-25 19:41:06,True,mark_lost,none,suppressed_do_not_contact
TXN0146,Karthik Raj,6308.7,card_expired,2026-08-25 20:13:49,False,send_nudge,email,
TXN0093,Lakshmi Rao,6449.67,insufficient_funds,2026-08-26 00:28:20,False,retry_later,sms,
TXN0103,Lakshmi Rao,6681.8,insufficient_funds,2026-08-26 01:00:01,False,mark_lost,none,suppressed_retry_cap
TXN0057,Suresh Babu,7331.0,card_expired,2026-08-26 04:42:27,False,send_nudge,email,
TXN0107,Arjun Nair,5159.62,card_expired,2026-08-26 05:25:56,True,mark_lost,none,suppressed_do_not_contact
TXN0052,Rahul Verma,5547.22,invalid_card,2026-08-26 07:02:30,False,mark_lost,none,suppressed_retry_cap
TXN0100,Kavya Reddy,6674.95,insufficient_funds,2026-08-26 13:59:57,False,retry_later,sms,
TXN0014,Ananya Iyer,2742.08,insufficient_funds,2026-08-26 17:21:54,False,mark_lost,none,suppressed_retry_cap
TXN0025,Lakshmi Rao,727.92,network_timeout,2026-08-26 20:32:36,False,retry_now,none,
TXN0117,Suresh Babu,5357.21,network_timeout,2026-08-26 20:38:53,False,retry_now,none,
TXN0041,Priya Sharma,732.86,insufficient_funds,2026-08-26 22:21:45,False,retry_later,sms,
TXN0010,Aditya Kumar,6322.53,insufficient_funds,2026-08-27 00:59:31,False,retry_later,sms,
TXN0045,Deepa Krishnan,9360.59,insufficient_funds,2026-08-27 01:15:57,False,retry_later,sms,
TXN0144,Rohan Gupta,353.22,insufficient_funds,2026-08-27 01:21:55,False,retry_later,sms,
TXN0102,Rohan Gupta,3328.21,card_expired,2026-08-27 06:29:51,False,send_nudge,email,
TXN0080,Sneha Patel,6940.09,invalid_card,2026-08-27 08:36:53,False,send_nudge,email,
TXN0068,Ananya Iyer,9960.35,invalid_card,2026-08-27 10:31:27,False,mark_lost,none,suppressed_retry_cap
TXN0132,Manoj Tiwari,9202.46,invalid_card,2026-08-27 11:22:01,True,mark_lost,none,suppressed_do_not_contact
TXN0064,Deepa Krishnan,6606.99,insufficient_funds,2026-08-27 14:05:19,False,retry_later,sms,
TXN0101,Rohan Gupta,1332.79,card_expired,2026-08-27 17:50:50,False,send_nudge,email,
TXN0075,Meera Pillai,6377.96,insufficient_funds,2026-08-27 18:15:30,False,retry_later,sms,
TXN0112,Lakshmi Rao,2023.91,card_expired,2026-08-27 20:54:22,False,mark_lost,none,suppressed_retry_cap
TXN0121,Anjali Bose,6411.85,insufficient_funds,2026-08-27 23:15:12,False,retry_later,sms,
